top1_acc,top3_acc,bal_acc,macro_f1,hardest_f1,slr_percent,backbone,protocol,seed
98.58569051580699,99.91680532445923,98.57327138891463,97.94837528515446,78.57142857142857,100.0,ConvNeXt-Tiny,Naive Random Image Split,42
99.08485856905158,100.0,98.83351795191108,98.86613253817096,91.30434782608695,100.0,ConvNeXt-Tiny,Naive Random Image Split,123
94.09513395297977,99.45325314379441,88.72552649185464,87.94861965766266,23.18840579710145,6.0344827586206895,ConvNeXt-Tiny,Stratified Group Split,42
95.51667577911427,99.72662657189721,90.96591206319312,89.8786423011685,28.57142857142857,6.0344827586206895,ConvNeXt-Tiny,Stratified Group Split,123
88.37209302325581,98.98255813953489,85.75367647058823,77.47294475649434,0.0,5.172413793103448,ConvNeXt-Tiny,DataSAIL Specimen-Level ILP,42
85.52036199095022,99.5475113122172,85.994738173047,77.3434332074657,0.0,6.0344827586206895,ConvNeXt-Tiny,DataSAIL Specimen-Level ILP,123
91.34146341463415,98.90243902439025,91.18775287892935,90.46687828306145,68.42105263157895,6.896551724137931,ConvNeXt-Tiny,Multi-Objective SA Meta-Selector,42
92.31788079470199,99.86754966887416,91.5947737989301,89.04708201838355,0.0,8.620689655172415,ConvNeXt-Tiny,Multi-Objective SA Meta-Selector,123
99.08485856905158,100.0,97.97763202916298,98.41327045775982,82.05128205128204,100.0,Swin-Large,Naive Random Image Split,42
99.33444259567388,100.0,98.38538072233725,98.8086613110442,85.0,100.0,Swin-Large,Naive Random Image Split,123
98.46910880262439,100.0,97.11650671126644,97.50561985460868,84.84848484848484,6.0344827586206895,Swin-Large,Stratified Group Split,42
97.92236194641882,100.0,96.09587197483818,95.35646706881641,58.333333333333336,6.0344827586206895,Swin-Large,Stratified Group Split,123
90.40697674418605,99.70930232558139,88.58827906162465,83.80865019444798,0.0,5.172413793103448,Swin-Large,DataSAIL Specimen-Level ILP,42
91.70437405731523,100.0,93.39136301072153,92.28262600712709,0.0,6.0344827586206895,Swin-Large,DataSAIL Specimen-Level ILP,123
92.4390243902439,99.51219512195122,92.52645502645503,90.95427383976222,65.57377049180327,6.896551724137931,Swin-Large,Multi-Objective SA Meta-Selector,42
92.45033112582782,99.86754966887416,91.2653694939023,89.67405370525292,26.08695652173913,8.620689655172415,Swin-Large,Multi-Objective SA Meta-Selector,123
99.16805324459234,100.0,98.37301974555643,98.66643216701618,85.71428571428571,100.0,EfficientNetV2-M,Naive Random Image Split,42
99.16805324459234,99.91680532445923,99.13553726940252,99.10113570227469,96.7032967032967,100.0,EfficientNetV2-M,Naive Random Image Split,123
94.53253143794423,99.67195188627666,88.36299401866125,89.17699921418645,38.095238095238095,6.0344827586206895,EfficientNetV2-M,Stratified Group Split,42
96.22744669218152,99.45325314379441,91.81387298480641,92.44074792584756,52.17391304347826,6.0344827586206895,EfficientNetV2-M,Stratified Group Split,123
85.46511627906976,98.40116279069767,87.15951311079988,78.91392690759474,0.0,5.172413793103448,EfficientNetV2-M,DataSAIL Specimen-Level ILP,42
90.34690799396682,99.24585218702866,92.99505913476503,91.32229483481018,0.0,6.0344827586206895,EfficientNetV2-M,DataSAIL Specimen-Level ILP,123
89.39024390243902,99.14634146341463,91.90913865546219,90.63028594166069,66.08695652173913,6.896551724137931,EfficientNetV2-M,Multi-Objective SA Meta-Selector,42
94.96688741721854,99.73509933774835,94.76970117728887,93.54370327817934,45.28301886792453,8.620689655172415,EfficientNetV2-M,Multi-Objective SA Meta-Selector,123
93.84359400998336,99.58402662229618,90.5511849372424,90.29606761777555,16.0,100.0,ResNet-50,Naive Random Image Split,42
93.261231281198,99.50083194675541,90.86452575757288,91.07780223357518,46.666666666666664,100.0,ResNet-50,Naive Random Image Split,123
90.37725533078185,99.28922908693275,83.77279604759376,82.9323612387572,0.0,6.0344827586206895,ResNet-50,Stratified Group Split,42
93.05631492618917,99.50792782941498,87.74864846482933,86.781440289152,0.0,6.0344827586206895,ResNet-50,Stratified Group Split,123
76.30813953488372,96.22093023255815,80.72708046723417,69.91676362950996,0.0,5.172413793103448,ResNet-50,DataSAIL Specimen-Level ILP,42
76.16892911010558,97.43589743589743,79.43255678708266,70.42201335068403,0.0,6.0344827586206895,ResNet-50,DataSAIL Specimen-Level ILP,123
79.8780487804878,93.17073170731707,84.03045832202069,82.15480813935964,51.388888888888886,6.896551724137931,ResNet-50,Multi-Objective SA Meta-Selector,42
89.80132450331125,98.80794701986756,88.70987174707273,88.75194063823484,45.83333333333333,8.620689655172415,ResNet-50,Multi-Objective SA Meta-Selector,123
